Number,Text,Caption
1,قَال َ[عليه السلام] كُنْ فِى الْفِتْنَةِ كَابْنِ اللَّبُونِ لَا ظَهْرٌ فَيُرْكَبَ وَ لَا ضَرْعٌ فَيُحْلَبَ,حکمت
2,وَ قَالَ [عليه السلام] أَزْرَى بِنَفْسِهِ مَنِ اسْتَشْعَرَ الطَّمَعَ وَ رَضِيَ بِالذُّلِّ مَنْ كَشَفَ عَنْ ضُرِّهِ وَ هَانَتْ عَلَيْهِ نَفْسُهُ مَنْ أَمَّرَ عَلَيْهَا لِسَانَهُ .,حکمت
3,وَ قَالَ [عليه السلام] الْبُخْلُ عَارٌ وَ الْجُبْنُ مَنْقَصَةٌ وَ الْفَقْرُ يُخْرِسُ الْفَطِنَ عَنْ حُجَّتِهِ وَ الْمُقِلُّ غَرِيبٌ فِى بَلْدَتِهِ .,حکمت
4,وَ قَالَ [عليه السلام] الْعَجْزُ آفَةٌ وَ الصَّبْرُ شَجَاعَةٌ وَ الزُّهْدُ ثَرْوَةٌ وَ الْوَرَعُ جُنَّةٌ وَ نِعْمَ الْقَرِينُ الرِّضَى .,حکمت
5,وَ قَالَ [عليه السلام] الْعِلْمُ وِرَاثَةٌ كَرِيمَةٌ وَ الْآدَابُ حُلَلٌ مُجَدَّدَةٌ وَ الْفِكْرُ مِرْآةٌ صَافِيَةٌ.,حکمت
6,وَ قَالَ [عليه السلام] صَدْرُ الْعَاقِلِ صُنْدُوقُ سِرِّهِ وَ الْبَشَاشَةُ حِبَالَةُ الْمَوَدَّةِ وَ الِاحْتِمَالُ قَبْرُ الْعُيُوبِ وَ رُوِيَ أَنَّهُ قَالَ فِى الْعِبَارَةِ عَنْ هَذَا الْمَعْنَى أَيْضاً الْمَسْأَلَةُ خِبَاءُ الْعُيُوبِ وَ مَنْ رَضِيَ عَنْ نَفْسِهِ كَثُرَ السَّاخِطُ عَلَيْهِ .,حکمت
7,وَ قَالَ [عليه السلام] وَ الصَّدَقَةُ دَوَاءٌ مُنْجِحٌ وَ أَعْمَالُ الْعِبَادِ فِى عَاجِلِهِمْ نُصْبُ أَعْيُنِهِمْ فِى آجَالِهِمْ .,حکمت
8,وَ قَالَ [عليه السلام] اعْجَبُوا لِهَذَا الْإِنْسَانِ يَنْظُرُ بِشَحْمٍ وَ يَتَكَلَّمُ بِلَحْمٍ وَ يَسْمَعُ بِعَظْمٍ وَ يَتَنَفَّسُ مِنْ خَرْمٍ .,حکمت
9,وَ قَالَ [عليه السلام] إِذَا أَقْبَلَتِ الدُّنْيَا عَلَى أَحَدٍ أَعَارَتْهُ مَحَاسِنَ غَيْرِهِ وَ إِذَا أَدْبَرَتْ عَنْهُ سَلَبَتْهُ مَحَاسِنَ نَفْسِهِ .,حکمت
10,وَ قَالَ [عليه السلام] خَالِطُوا النَّاسَ مُخَالَطَةً إِنْ مِتُّمْ مَعَهَا بَكَوْا عَلَيْكُمْ وَ إِنْ عِشْتُمْ حَنُّوا إِلَيْكُمْ .,حکمت
11,وَ قَالَ [عليه السلام] إِذَا قَدَرْتَ عَلَى عَدُوِّكَ فَاجْعَلِ الْعَفْوَ عَنْهُ شُكْراً لِلْقُدْرَةِ عَلَيْهِ .,حکمت
